title,author,year,lang,rights,fmt,publisher,oclc,htid,url,n_copies
"The hunting of the snark, an agony, in eight fits. By Lewis Carroll [pseud.] ... With nine illustrations by Henry Holiday.","Carroll, Lewis, 1832-1898.",1876.0,eng,pd,BK,"Macmillan and Co., 1876.",2035667,uc2.ark:/13960/t3jw8cx1q,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t3jw8cx1q,4
"Through the looking-glass and what Alice found there, by Lewis Carroll [pseud.] illustrated by Peter Newell.","Carroll, Lewis, 1832-1898",1902.0,eng,pdus,BK,"Harper & Brothers, 1902.","1985596,3790937",hvd.32044019883032,https://babel.hathitrust.org/cgi/pt?id=hvd.32044019883032,3
Sylvie and Bruno concluded/ by Lewis Carroll [pseud.] with forty-six illustrations by Harry Furniss.,"Carroll, Lewis, 1832-1898.",1894.0,eng,pd,BK,"Macmillan, 1894.",39462452,wu.89099920951,https://babel.hathitrust.org/cgi/pt?id=wu.89099920951,3
Rhyme? and reason? / by Lewis Carroll ; with sixty-five illustrations by Arthur B. Frost and nine by Henry Holiday.,"Carroll, Lewis, 1832-1898.",1888.0,eng,pd,BK,"Macmillan, 1909.",21343764,uc1.c023518468,https://babel.hathitrust.org/cgi/pt?id=uc1.c023518468,3
"Representative narratives, by Carroll Lewis Maxcy.","Maxcy, Carroll Lewis, b. 1865.",1914.0,eng,pd,BK,"Houghton Mifflin Co., [c1914]",2587331,uc2.ark:/13960/t6nz86v54,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6nz86v54,3
Le avventure d'Alice nel paese della meraviglie. Per Lewis Carroll [pseud.] Tradotte dall'inglese da T. Pietrocòla-Rossetti. Con 42 vignette di Giovanni Tenniel.,"Carroll, Lewis, 1832-1898.",1872.0,ita,pd,BK,"Macmillan and Co., 1872.","1960473,229163492",uiuo.ark:/13960/t6f18wc6f,https://babel.hathitrust.org/cgi/pt?id=uiuo.ark:/13960/t6f18wc6f,3
Sylvie and Bruno / by Lewis Carroll ; with forty-six illustrations by Harry Furniss.,"Carroll, Lewis, 1832-1898.",1889.0,eng,pd,BK,"Macmillan and Co., 1889.",11162587,mdp.39015057979646,https://babel.hathitrust.org/cgi/pt?id=mdp.39015057979646,3
"Symbolic logic, by Lewis Carroll.","Carroll, Lewis, 1832-1898.",1896.0,   ,pd,BK,1897,,oxu1.602385732,https://babel.hathitrust.org/cgi/pt?id=oxu1.602385732,2
The hunting of the snark / by Lewis Carroll.,"Carroll, Lewis, 1832-1898.",1879.0,eng,pd,BK,"Henry Altemus Co., c1909.",13400972,osu.32435017945403,https://babel.hathitrust.org/cgi/pt?id=osu.32435017945403,2
Sylvie and Bruno concluded / by Lewis Carroll ; with forty-six illustrations by Harry Furniss.,"Carroll, Lewis, 1832-1898.",1893.0,eng,pd,BK,"Macmillan and Co., 1893.",1875644,uc2.ark:/13960/t6ww7b09m,https://babel.hathitrust.org/cgi/pt?id=uc2.ark:/13960/t6ww7b09m,2
